Country,Province/Territory,District/Agency,Region/Type,Date,Indicators,Values,Unit
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,72,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,75,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,1,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,50,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,152,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Primary Schools with Electricity in Rural Areas by District,10,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,158,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Boys Primary Schools with Latrines Facility in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,14444,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,792,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Enrolment at Primary Stage in Rural Areas by District,29778,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Enrolment at Primary Stage in Urban Areas by District,636,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,56,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,65,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools with Electricity in Rural Areas by District,19,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,4,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Primary Schools with Drinking Water Facility in Rural Areas by District,71,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Primary Schools with Drinking Water Facility in Urban Areas by District,1,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Primary Schools with Electricity in Rural Areas by District,15,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Primary Schools with Electricity in Urban Areas by District,1,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Primary Schools with Latrines Facility in Rural Areas by District,73,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Girls Primary Schools with Latrines Facility in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,140,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,6,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,69,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,8,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,128,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,6,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,223,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,4,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Primary Schools with Electricity in Rural Areas by District,25,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Primary Schools with Electricity in Urban Areas by District,1,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Primary Schools with Latrines Facility in Rural Areas by District,231,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Primary Schools with Latrines Facility in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Rural-Public Sector Educational Institutions,832,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Students in Middle and Secondary Schools of Rural Areas by District,54009,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Students in Middle and Secondary Schools of Urban Areas by District,3245,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Students in Primary Schools of Rural Areas by District,31926,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Students in Primary Schools of Urban Areas by District,588,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,2954,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,199,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Teachers in Primary Schools of Rural Areas by District,1157,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Teachers in Primary Schools of Urban Areas by District,34,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,148,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Boys Primary Schools in Rural Areas by District,311,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Boys Primary Schools in Urban Areas by District,8,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,147,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Girls Primary Schools in Rural Areas by District,226,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Girls Primary Schools in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Middle and Secondary Schools in Rural Areas by District,295,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Middle and Secondary Schools in Urban Areas by District,10,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Primary Schools in Rural Areas by District,537,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total Primary Schools in Urban Areas by District,11,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Total-Public Sector Educational Institutions,853,Number
Pakistan,Azad Jammu & Kashmir,Bagh,District,2010,Urban-Public Sector Educational Institutions,21,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,9855,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,541,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,16780,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,479,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,34,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,71,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,76,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,90,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Primary Schools with Drinking Water Facility in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Primary Schools with Electricity in Rural Areas by District,47,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Primary Schools with Electricity in Urban Areas by District,4,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Boys Primary Schools with Latrines Facility in Rural Areas by District,21,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Enrolment at Middle and Secondary Stage in Rural Areas by District,9053,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Enrolment at Middle and Secondary Stage in Urban Areas by District,646,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Enrolment at Primary Stage in Rural Areas by District,16344,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Enrolment at Primary Stage in Urban Areas by District,472,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,50,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,69,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools with Electricity in Rural Areas by District,72,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools with Electricity in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Primary Schools with Drinking Water Facility in Rural Areas by District,52,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Primary Schools with Drinking Water Facility in Urban Areas by District,2,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Primary Schools with Electricity in Rural Areas by District,36,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Primary Schools with Electricity in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Primary Schools with Latrines Facility in Rural Areas by District,24,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Girls Primary Schools with Latrines Facility in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,140,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Middle and Secondary Schools with Electricity in Rural Areas by District,148,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Middle and Secondary Schools with Electricity in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Middle and Secondary Schools with Student Latrines Facility in Rural Areas by District,84,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Middle and Secondary Schools with Student Latrines Facility in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Primary Schools with Drinking Water Facility in Rural Areas by District,142,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Primary Schools with Drinking Water Facility in Urban Areas by District,4,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Primary Schools with Electricity in Rural Areas by District,83,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Primary Schools with Electricity in Urban Areas by District,9,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Primary Schools with Latrines Facility in Rural Areas by District,45,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Primary Schools with Latrines Facility in Urban Areas by District,3,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Rural-Public Sector Educational Institutions,600,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Students in Middle and Secondary Schools of Rural Areas by District,34043,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Students in Middle and Secondary Schools of Urban Areas by District,1652,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Students in Primary Schools of Rural Areas by District,17989,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Students in Primary Schools of Urban Areas by District,486,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Teachers in Middle and Secondary Schools of Rural Areas by District,1795,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Teachers in Middle and Secondary Schools of Urban Areas by District,97,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Teachers in Primary Schools of Rural Areas by District,780,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Teachers in Primary Schools of Urban Areas by District,27,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Boys Middle and Secondary Schools in Rural Areas by District,86,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Boys Primary Schools in Rural Areas by District,263,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Boys Primary Schools in Urban Areas by District,6,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Girls Middle and Secondary Schools in Rural Areas by District,87,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Girls Primary Schools in Rural Areas by District,164,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Girls Primary Schools in Urban Areas by District,6,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Middle and Secondary Schools in Rural Areas by District,173,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Middle and Secondary Schools in Urban Areas by District,5,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Primary Schools in Rural Areas by District,427,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total Primary Schools in Urban Areas by District,12,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Total-Public Sector Educational Institutions,617,Number
Pakistan,Azad Jammu & Kashmir,Bhimber,District,2010,Urban-Public Sector Educational Institutions,17,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Enrolment at Middle and Secondary Stage in Rural Areas by District,14766,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Enrolment at Middle and Secondary Stage in Urban Areas by District,1964,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Enrolment at Primary Stage in Rural Areas by District,35586,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Enrolment at Primary Stage in Urban Areas by District,1589,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools in Urban Areas by District,8,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,45,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Rural Areas by District,73,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools with Drinking Water Facility in Urban Areas by District,8,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools with Electricity in Rural Areas by District,88,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools with Electricity in Urban Areas by District,8,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Middle and Secondary Schools with Student Laterine Facility in Urban Areas by District,6,Number
Pakistan,Azad Jammu & Kashmir,Kotli,District,2010,Boys Primary Schools with Drinking Water Facility in Rural Areas by District,61,Number
